Date,Close,Volume,SMA_21,MSTD_21,Day_of_week,Weekend,Invalid_Days,diff_close_mean,diff_close_mean_z_score,meta
2021-05-24,21.86507987976074,273420.0,22.916855040050685,0.8380425410576089,0,0,0,-1.0517751602899459,-1.2550379112766836,-1
2021-05-25,21.70634841918945,190512.0,22.878684180123464,0.8750377304844885,1,0,0,-1.1723357609340148,-1.3397545272532638,-1
2021-05-26,21.84126853942871,191520.0,22.839757465180895,0.9030462528916062,2,0,0,-0.9984889257521843,-1.1056896837287848,-1
2021-05-27,22.23809432983398,183708.0,22.8057438986642,0.9119997310211201,3,0,0,-0.5676495688302197,-0.622422956413212,0
2021-05-28,21.80952262878418,161784.0,22.768328893752322,0.9368462153827087,4,0,0,-0.9588062649681426,-1.0234403995286068,-1
2021-05-29,21.878306070963543,166698.0,22.768328893752322,0.9368462153827087,5,1,1,-0.8900228227887794,-0.9500201934692114,0
2021-05-30,21.947089513142906,171612.0,22.768328893752322,0.9368462153827087,6,1,1,-0.8212393806094163,-0.876599987409816,0
2021-05-31,22.01587295532227,176526.0,22.772486096336724,0.9331198072359527,0,0,0,-0.756613141014455,-0.810842439681633,0
2021-06-01,22.75396728515625,310590.0,22.83560017177037,0.8810458961017427,1,0,0,-0.08163288661411983,-0.09265452228460629,0
2021-06-02,22.4841251373291,172746.0,22.88397507440476,0.8285405494053029,2,0,0,-0.39984993707565764,-0.4825954956129254,0
2021-06-03,22.190475463867188,204498.0,22.88397507440476,0.8285405494053029,3,0,1,-0.6934996105375717,-0.8370134823640693,0
2021-06-04,21.89682579040527,236250.0,22.84202503022693,0.8560320825724723,4,0,0,-0.9451992398216618,-1.1041633357726877,-1
2021-06-05,21.78571446736653,220416.0,22.84202503022693,0.8560320825724723,5,1,1,-1.0563105628604,-1.233961418462341,-1
2021-06-06,21.674603144327797,204582.0,22.84202503022693,0.8560320825724723,6,1,1,-1.1674218858991345,-1.3637595011519907,-1
2021-06-07,21.56349182128906,188748.0,22.736204964773993,0.8707687043376866,0,0,0,-1.172713143484934,-1.3467561909874892,-1
2021-06-08,21.39682579040527,109620.0,22.62093671162923,0.8806408634933512,1,0,0,-1.2241109212239607,-1.3900228480973762,-1
2021-06-09,21.74603080749512,130788.0,22.516250337873185,0.8454055150199785,2,0,0,-0.7702195303780641,-0.9110651831504345,0
2021-06-10,21.81745910644531,170730.0,22.383975165230886,0.710383669214535,3,0,0,-0.5665160587855773,-0.7974790009066075,0
2021-06-11,22.10317420959473,105210.0,22.29667363848005,0.6164958557395712,4,0,0,-0.19349942888532112,-0.3138697966642323,0
2021-06-12,22.01058133443197,113148.0,22.29667363848005,0.6164958557395712,5,1,1,-0.2860923040480827,-0.4640620068806072,0
2021-06-13,21.91798845926921,121086.0,22.29667363848005,0.6164958557395712,6,1,1,-0.37868517921084077,-0.6142542170969764,0
2021-06-14,21.82539558410645,129024.0,22.228268487112864,0.5828169547586313,0,0,0,-0.4028729030064149,-0.691251171945163,0
2021-06-15,21.58730125427246,159012.0,22.179137729463122,0.5916482322858478,1,0,0,-0.5918364751906608,-1.000318166935251,-1
2021-06-16,20.58730125427246,403326.0,22.060468037923176,0.6491823639462192,2,0,0,-1.473166783650715,-2.2692649484432974,-2
2021-06-17,19.64285659790039,520380.0,21.87792832510812,0.7605785280586156,3,0,0,-2.2350717272077283,-2.938646891482424,-2
2021-06-18,19.84920692443848,168588.0,21.71541895185198,0.8128751820516765,4,0,0,-1.8662120274135,-2.2958162195372083,-2
2021-06-19,20.005290985107422,167580.0,21.71541895185198,0.8128751820516765,5,1,1,-1.7101279667445581,-2.103801425488521,-2
2021-06-20,20.161375045776367,166572.0,21.71541895185198,0.8128751820516765,6,1,1,-1.5540439060756128,-1.9117866314398295,-1
2021-06-21,20.31745910644531,165564.0,21.603174027942476,0.8362117699493976,0,0,0,-1.285714921497167,-1.5375470278001118,-1
2021-06-22,20.36507987976074,111132.0,21.495842252458846,0.8439182147215435,1,0,0,-1.1307623726981078,-1.3398956829853594,-1
2021-06-23,20.25396728515625,85932.0,21.419122605096724,0.8810866041898127,2,0,0,-1.1651553199404745,-1.3224072575838015,-1
2021-06-24,20.78571319580078,247338.0,21.375282832554408,0.8889493926644652,3,0,0,-0.5895696367536267,-0.6632206980720222,0
2021-06-25,20.86507987976074,184590.0,21.328797658284504,0.8888871280549013,4,0,0,-0.4637177785237654,-0.5216835342620961,0
2021-06-26,20.85978889465332,185598.0,21.328797658284504,0.8888871280549013,5,1,1,-0.4690087636311837,-0.5276359042992191,0
2021-06-27,20.8544979095459,186606.0,21.328797658284504,0.8888871280549013,6,1,1,-0.4742997487386056,-0.5335882743363461,0
2021-06-28,20.84920692443848,187614.0,21.26266016278948,0.8693024740853023,0,0,0,-0.4134532383509999,-0.47561493343964517,0
2021-06-29,20.65872955322266,172746.0,21.207860492524645,0.8693775466502114,1,0,0,-0.5491309393019854,-0.6316369009273768,0
2021-06-30,20.18253898620605,393750.0,21.120558874947683,0.8762046964782699,2,0,0,-0.938019888741632,-1.0705488027076504,-1
2021-07-01,20.0,186606.0,20.989417575654528,0.82404986840329,3,0,0,-0.989417575654528,-1.2006768201682512,-1
2021-07-02,20.4761905670166,91476.0,20.893801643734886,0.7555932915465843,4,0,0,-0.4176110767182841,-0.5526929386356751,0
2021-07-03,20.4761905670166,96726.0,20.893801643734886,0.7555932915465843,5,1,1,-0.4176110767182841,-0.5526929386356751,0
2021-07-04,20.4761905670166,101976.0,20.893801643734886,0.7555932915465843,6,1,1,-0.4176110767182841,-0.5526929386356751,0
2021-07-05,20.4761905670166,107226.0,20.826152347383044,0.7242465410329303,0,0,0,-0.3499617803664421,-0.4832080797615158,0
2021-07-06,20.39682579040527,106974.0,20.770596822102863,0.7094539482072647,1,0,0,-0.3737710316975935,-0.5268432611335577,0
2021-07-07,20.84920692443848,215208.0,20.7445197332473,0.6952062504810683,2,0,0,0.10468719119117864,0.15058436416349433,0
2021-07-08,20.30158615112305,140490.0,20.675736654372443,0.661817459340636,3,0,0,-0.3741505032493926,-0.5653379160201607,0
2021-07-09,20.44245958328247,147073.5,20.675736654372443,0.661817459340636,4,0,1,-0.2332770710899723,-0.35247947571885546,0
2021-07-10,20.583333015441895,153657.0,20.675736654372443,0.661817459340636,5,1,1,-0.09240363893054848,-0.13962103541754484,0
2021-07-11,20.72420644760132,160240.5,20.675736654372443,0.661817459340636,6,1,1,0.048469793228875346,0.07323740488376577,0
2021-07-12,20.86507987976074,166824.0,20.63038526262556,0.61029402609702,0,0,0,0.23469461713517958,0.3845599122706628,0
2021-07-13,20.81745910644531,110880.0,20.56916073390416,0.5116809555407053,1,0,0,0.24829837254115006,0.4852601408210852,0
2021-07-14,20.69841194152832,189630.0,20.51549484616234,0.4251145318276708,2,0,0,0.18291709536597978,0.43027721160124704,0
2021-07-15,20.56349182128906,60102.0,20.466742016020277,0.34771169301539423,3,0,0,0.0967498052687823,0.2782472008052341,0
2021-07-16,20.33333206176758,182070.0,20.454648244948615,0.347725514586219,4,0,0,-0.12131618318103321,-0.34888490516836296,0
2021-07-17,20.277776718139652,159642.0,20.454648244948615,0.347725514586219,5,1,1,-0.1768715268089629,-0.5086527142520264,0
2021-07-18,20.22222137451172,137214.0,20.454648244948615,0.347725514586219,6,1,1,-0.23242687043689614,-0.6684205233357002,0
2021-07-19,20.16666603088379,114786.0,20.479591551281157,0.30241719595110517,0,0,0,-0.31292552039736776,-1.0347477742236642,-1
2021-07-20,20.39682579040527,192150.0,20.50566864013672,0.26686216439629484,1,0,0,-0.10884284973144887,-0.40786167637393284,0
2021-07-21,20.79364967346191,55818.0,20.528344381423224,0.270279537572437,2,0,0,0.26530529203868625,0.9815959225828643,0
2021-07-22,20.9761905670166,74592.0,20.557444890340168,0.28435434277069194,3,0,0,0.4187456766764335,1.472619241880603,1
